Time,Channel A,Channel B
(s),(V),(V)

-50.00019836,12.91339000,0.70866140
-50.00009836,12.75591000,0.70866140
-49.99999836,12.75591000,0.70866140
-49.99989836,12.59842000,0.70866140
-49.99979836,12.59842000,0.70866140
-49.99969836,12.59842000,0.70866140
-49.99959836,12.44094000,0.70866140
-49.99949836,12.44094000,0.70866140
-49.99939836,12.28346000,0.70866140
-49.99929836,12.28346000,0.70866140
-49.99919836,12.12598000,0.70866140
-49.99909836,12.12598000,0.70866140
-49.99899836,11.96850000,0.70866140
-49.99889836,11.96850000,0.70866140
-49.99879836,11.96850000,0.70866140
-49.99869836,11.81102000,0.70866140
-49.99859836,11.81102000,0.70866140
-49.99849836,11.81102000,0.70866140
-49.99839836,11.65354000,0.70866140
-49.99829836,11.65354000,0.70866140
-49.99819836,11.49606000,0.70866140
-49.99809836,11.49606000,0.70866140
-49.99799836,11.49606000,0.70866140
-49.99789836,11.33858000,0.70866140
-49.99779836,11.33858000,0.70866140
-49.99769836,11.18110000,0.70866140
-49.99759836,11.18110000,0.70866140
-49.99749836,11.02362000,0.70866140
-49.99739836,11.02362000,0.70866140
-49.99729836,11.02362000,0.70866140
-49.99719836,10.86614000,0.70866140
-49.99709836,10.86614000,0.70866140
-49.99699836,10.70866000,0.70866140
-49.99689836,10.70866000,0.70866140
-49.99679836,10.55118000,0.70866140
-49.99669836,10.55118000,0.70866140
-49.99659836,10.55118000,0.70866140
-49.99649836,10.39370000,0.70866140
-49.99639836,10.39370000,0.70866140
-49.99629836,10.39370000,0.70866140
-49.99619836,10.23622000,0.70866140
-49.99609836,10.23622000,0.70866140
-49.99599836,10.07874000,0.70866140
-49.99589836,10.07874000,0.70866140
-49.99579836,9.92126000,0.70866140
-49.99569836,9.92126000,0.70866140
-49.99559836,9.92126000,0.70866140
-49.99549836,9.76378000,0.70866140
-49.99539836,9.76378000,0.70866140
-49.99529836,9.60629900,0.70866140
-49.99519836,9.60629900,0.70866140
-49.99509836,9.60629900,0.70866140
-49.99499836,9.44881900,0.70866140
-49.99489836,9.44881900,0.70866140
-49.99479836,9.29133900,0.70866140
-49.99469836,9.29133900,0.70866140
-49.99459836,9.29133900,0.70866140
-49.99449836,9.13385900,0.70866140
-49.99439836,9.13385900,0.70866140
-49.99429836,8.97637700,0.70866140
-49.99419836,8.97637700,0.70866140
-49.99409836,8.97637700,0.70866140
-49.99399836,8.81889700,0.70866140
-49.99389836,8.81889700,0.70866140
-49.99379836,8.66141700,0.70866140
-49.99369836,8.66141700,0.70866140
-49.99359836,8.66141700,0.70866140
-49.99349836,8.50393700,0.70866140
-49.99339836,8.50393700,0.70866140
-49.99329836,8.34645700,0.70866140
-49.99319836,8.34645700,0.70866140
-49.99309836,8.34645700,0.70866140
-49.99299836,8.18897600,0.70866140
-49.99289836,8.18897600,0.70866140
-49.99279836,8.03149600,0.70866140
-49.99269836,8.03149600,0.70866140
-49.99259836,8.03149600,0.70866140
-49.99249836,7.87401600,0.70866140
-49.99239836,7.87401600,0.70866140
-49.99229836,7.71653600,0.70866140
-49.99219836,7.71653600,0.70866140
-49.99209836,7.71653600,0.70866140
